"action_id","action_name","action_type","description","action_category","action_subcategory","investment_cost","implementation_timeline","biome"
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,mitigation,"The city will encourage the adoption and enforcement of the Brazilian Energy Labeling Program for Buildings to improve energy efficiency and reduce emissions from the building sector. The program evaluates and certifies buildings based on their energy performance, covering aspects such as thermal efficiency, lighting, and HVAC systems. Actions may include incentivizing developers and property owners to seek certification, integrating energy performance criteria into municipal building codes, and raising public awareness of the benefits of energy-efficient construction and renovation. ","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,mitigation,"The city will promote integrated regional energy planning to ensure that electricity expansion in rural and peri-urban areas is cost-effective, low-emission, and equitable. This approach combines renewable energy generation (e.g., solar PV and wind) with battery storage and microgrid systems to extend reliable access to electricity where traditional grid expansion is unviable or inefficient. Municipalities can partner with energy utilities, rural cooperatives, and neighboring jurisdictions to identify optimal locations for solar–battery microgrids or distributed renewable infrastructure, especially in areas adjoining urban centers where land availability supports clean energy generation for both city and rural users. Financing mechanisms may include public–private artnerships (PPPs), leasing models, concessional loans, and power purchase agreements (PPAs).",Projects & Physical Actions,Infrastructure Development,high,>10 years,
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,mitigation,"The city will collaborate with energy utilities, regulators, and technology providers to support the deployment of smart grid infrastructure and distributed energy storage systems that enhance flexibility, reliability, and renewable energy integration. While large-scale grid modernization is typically led by national or regional authorities",Projects & Physical Actions,Infrastructure Development,high,"5-10 years",
icare_0009,Deploy cogeneration systems in industries,mitigation,Utilize combined heat and power systems to maximize energy efficiency in industrial processes.,Projects & Physical Actions,Energy & Building Retrofits,high,"5-10 years",
icare_0010,Promote Net-Zero and Green Building Certifications,mitigation,"This action focuses on promoting sustainable buildings by supporting net-zero energy goals and encouraging green building certifications such as LEED. It aims to incentivize the construction and renovation of buildings that produce as much energy as they consume, reducing their environmental impact. This initiative also fosters the adoption of sustainable practices and technologies, ensuring long-term energy efficiency and environmental responsibility across residential, commercial, and public infrastructure.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0012,Expand solar energy generation on municipal facilities and public assets,mitigation,"The city will install and scale up solar photovoltaic (PV) systems on municipal buildings and public assets, including schools, health centers, administrative offices, bus terminals, water treatment plants, and decommissioned landfills. The objective is to increase the share of renewable electricity in municipal operations, lower energy costs, and reduce greenhouse gas emissions. Facilitating pilot and demonstration projects in municipal buildings, neighborhoods, or industrial zones to showcase the benefits of smart meters, automated controls, and local storage systems; Supporting demand-side flexibility programs, such as time-of-use tariffs and smart appliance initiatives; Incorporating grid-readiness and distributed generation planning into local development and zoning strategies; and 
Engaging in integrated resource planning with utilities to ensure that urban and peri-urban energy needs are aligned with regional grid upgrades.",Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,mitigation,"This action focuses on promoting renewable energy generation by developing mini and micro-hydropower plants and encouraging biomass energy production in agricultural regions. By harnessing the potential of local water resources and organic waste, this initiative aims to diversify the energy mix, improve energy security, and support sustainable agricultural practices, reducing dependence on fossil fuels while promoting environmentally friendly energy solutions.",Projects & Physical Actions,Infrastructure Development,high,"5-10 years",
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",mitigation,"The city will encourage the adoption of renewable and efficient water heating systems, including solar thermal collectors and heat pumps, across residential, commercial, and public facilities. These systems significantly reduce energy consumption and emissions associated with conventional electric or gas water heating. Municipal actions may include: Installing systems in public buildings (schools, hospitals, sports centers) to demonstrate leadership and reduce operational costs; Providing incentives or financing programs for residential and commercial installations; and Updating building codes or efficiency standards to integrate renewable heating technologies in new and retrofitted constructions.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
icare_0023,Upgrade and maintain electrical substations,mitigation,Enhance the reliability and efficiency of the electrical grid by modernizing substation equipment and implementing regular maintenance programs.,Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
icare_0024,Integrate renewables into municipal water systems,mitigation,"Implement renewable energy sources, such as solar or wind power, to drive water treatment, pumping, and distribution systems, reducing energy costs and emissions.",Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,mitigation,"The city will develop and support housing programs that integrate energy-efficient and climate-resilient design principles, reducing energy costs and improving comfort for low-income households and residents of informal settlements. Measures may include the use of thermal insulation materials, reflective roofing, natural ventilation, and efficient lighting and appliances (such as LEDs and solar water heaters). Municipal actions can involve incentivizing retrofits, integrating efficiency criteria into social housing programs, and offering technical assistance or subsidies for small-scale upgrades. This action can be combined with broader improvement projects that address sanitation, water access, and structural safety, fostering integrated and inclusive neighborhood upgrading. These interventions enhance quality of life, reduce energy poverty, and contribute to urban climate mitigation and adaptation goals.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,mitigation,"The city will work with energy regulators and utilities to introduce time-of-use (TOU) electricity tariffs that incentivize consumers to shift energy use toward off-peak hours. By encouraging demand-side flexibility, this measure helps to balance grid demand, ensure grid stability, and lower energy costs for consumers, particularly when combined with energy-efficient appliances and smart metering technologies. Municipal roles may include advocating for regulatory approval, piloting TOU programs in public facilities, and raising awareness among residential, commercial, and industrial users. This action supports the city’s broader energy efficiency and resilience objectives, helping to integrate renewable energy more effectively and reduce peak load pressures.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0027,Create financing programs for local renewable energy projects,mitigation,"Establish funding mechanisms, such as grants and low-interest loans, to support the development of small-scale renewable energy initiatives in communities. These programs can also support community renewable energy farms and cooperatives, enabling shared access to clean power and strengthening local ownership models.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",mitigation,"The city will require or encourage passive cooling design features—including shaded facades, green roofs, natural ventilation, reflective surfaces, and cross-ventilation layouts—to reduce dependence on mechanical air conditioning in residential, commercial, and public buildings. These measures improve indoor comfort, lower energy demand, and enhance urban resilience to heat stress. Implementation can include updating building codes, incentivizing retrofits, and providing design guidance for new developments and renovations. This action complements other green building initiatives and supports long-term climate adaptation through energy efficiency and thermal comfort.","Policies, Plans & Programs",Regulation & Standards,low,<5 years,
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',mitigation,"Install biogas systems in wastewater treatment facilities to produce renewable energy from organic sludge, reducing emissions and operational costs. Technologies may include sludge digestion, CHP for plant loads, and upgrading to biomethane for vehicles. This action can be financed by development banks and can be scaled by regionalization.",Projects & Physical Actions,Energy & Building Retrofits,high,"5-10 years",
icare_0033,Install biodigesters in rural properties,mitigation,"Equip rural farms and properties with biodigesters to convert organic waste into biogas and nutrient-rich fertilizers, providing a sustainable energy source.",Projects & Physical Actions,Energy & Building Retrofits,medium,<5 years,
icare_0034,Improve Fuel Supply Systems for Industrial Heating,mitigation,"Enhancing fuel delivery systems in the steel production process by implementing technologies such as pulverized coal injection, improving furnace designs and process controls, and optimizing fuel combustion for heating. Includes energy efficiency measures to reduce emissions from coal and coke used in conventional iron-making, and the potential adoption of alternative reductants like biomass and waste plastics.",Projects & Physical Actions,Energy & Building Retrofits,low,<5 years,
icare_0035,Enhance industrial energy efficiency processes,mitigation,Implement advanced technologies and process optimizations in industrial facilities to minimize energy consumption and improve productivity.,Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,mitigation,"The city will install LED-based (or other low emission technologies), solar-powered streetlights in all neighborhoods, including rural and peri-urban areas, to enhance safety, accessibility, and social inclusion while reducing energy costs and environmental impacts. Where feasible, the action prioritizes solar power generation, especially in areas with limited grid coverage or high carbon intensity. In locations where the electricity grid is already clean, the focus will be on maximizing lighting efficiency through LED retrofits and smart controls. Municipal roles include procuring equipment, establishing public–private financing mechanisms, and contracting long-term maintenance services to ensure system reliability. This action delivers strong co-benefits for communities of all sizes but requires careful planning to address maintenance and operational challenges.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",mitigation,"Promote organic, regenerative and agroecological agricultural principles in the rural areas of the city. This can include reducing reliance on chemical pesticides, improving soil health and promoting carbon sequestration in the soil. Actions could include providing technical training and educational programmes for rural producers, using economic instruments to incentivize agroecological conversion, and creating resources or networks for skill sharing. Work cooperatively with rural producers, including engaging with Indigenous practises and skillsets.","Policies, Plans & Programs",Public Programs / Incentives,low,<5 years,
icare_0049,Develop regional hubs for renewable energy production,mitigation,"Establish strategic centers for large-scale renewable energy generation, supporting local economies and providing reliable, clean energy to surrounding areas.",Projects & Physical Actions,Infrastructure Development,high,>10 years,
icare_0050,Accelerate the adoption of Agroforestry',mitigation,"Promote agroforestry systems by integrating trees into food cultivation and pasture, increasing biodiversity and carbon sequestration. Agroforestry integrates trees and shrubs with crops and/or livestock to sequester carbon, enhance soil health, reduce soil erosion, improve water quality, and diversify livelihoods. It also offers co-benefits like mitigating regional climates and increasing land productivity while addressing risks like biodiversity and hydrology impacts. Agroforestry systems can include silvopastoral systems, alley cropping, riparian buffer planting. Create financial and technical incentives for integrating agroforestry practices into livestock systems.",Projects & Physical Actions,Nature-Based Solutions,medium,"5-10 years",
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,mitigation,"Measures to aggregate voluntary waste collectors into small enterprises or associtations, improve working conditions and income in the processes of sorting recyclable and organic waste to contribute for GHG emissions reduction and the increase climate risk resilience. It includes mapping individual and groups of voluntary waste collectors, provide training for collectors in waste management and treatement technologies, economics, business management, and conceptual planning for the operation and administration of the Sorting Unit.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,
icare_0064,Develop an organic waste management strategy ,mitigation,"Development of an organic waste management strategy with near, mid and long term interventions, integrating aquisition and implementation of organic waste treatment technologies and resources to build the adequate infrastructure to treat the collected waste, such as composting, biodigestion and other technologies, in order to reduce the amount sent to landfills and to achieve maximum organics waste diversion","Policies, Plans & Programs",Strategic Plans,medium,"5-10 years",
icare_0069,Complete ecological and agroclimatic mapping,mitigation,"Use zoning and mapping tools to identify areas best suited for sustainable agriculture and those that require environmental preservation. Incorporate findings into planning or zoning regulations, Economic Plans, Climate Action Plans and associated strategic work or policy design. Include mappings of local Indigenous and smallholder-linked land, public spaces, socio-economic data and other priorities. This will help inform plans to accelerate agroecological production locally and preserve ecologically important areas, and can be a useful tool for engaging stakeholders.","Data, Tools & Planning Projects",Data Collection / Baseline Studies,low,<5 years,
icare_0071,Increase efficiency of industrial furnaces and kilns,mitigation,"Enhancing the design and operation of furnaces and kilns to improve energy efficiency and reduce emissions. Includes technologies such as improved heat and energy recovery from process gases, advanced process controls, and better furnace designs to minimize temperature cycles and optimize fuel usage.",Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,mitigation,"This action involves improving heat-use energy efficiency by utilizing heat exchanger networks and high-temperature heat pumps to recover and reuse waste heat in industrial processes. Techniques include reducing heat needs via thermal insulation, reusing waste heat at various temperature grades, and recycling waste heat for power generation through technologies such as mechanical vapor recompression and thermoelectric conversion.",Projects & Physical Actions,Energy & Building Retrofits,low,<5 years,
icare_0074,Adopt industrial energy efficiency technologies,mitigation,"Implementation of energy-efficient technologies in mining processes, particularly in comminution, by upgrading ore concentration methods, using efficient grinding and crushing technologies, and optimizing particle size feed. Other opportunities include improving separation, drying, and materials handling processes.",Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0076,Electrify Industrial Processes (with Renewable Power),mitigation,"Transitioning steel production processes to electrified methods such as molten oxide electrolysis, advanced direct reduction, and other methods powered by low-carbon electricity to reduce emissions and improve energy efficiency.",Projects & Physical Actions,Energy & Building Retrofits,medium,>10 years,
icare_0078,Decarbonize industrial feedstocks,mitigation,"Decarbonising feedstocks for industrial processes through Carbon Capture and Storage (CCS), Carbon Capture and Utilisation (CCU), and integration with low-carbon energy sources. This includes capturing carbon from various industrial emissions and reusing or storing it to reduce greenhouse gas emissions. Applications include creating synthetic fuels, chemicals, and materials while using renewable energy or biogenic carbon sources.",Projects & Physical Actions,Energy & Building Retrofits,medium,"5-10 years",
icare_0079,Implement carbon capture and utilization (CCU),mitigation,"Capturing CO₂ from industrial processes or combustion gases and reusing it for producing fuels, chemicals, and building materials, reducing emissions from the initial source and substituting new fossil/biogenic feedstocks. Prioritize CCU for residual emissions and for end-uses with robust MRV and, where possible, durable carbon retention; do not displace higher-priority efficiency and material circularity measures.",Projects & Physical Actions,Infrastructure Development,low,<5 years,
icare_0082,Implement carbon capture and storage (CCS),mitigation,"Carbon Capture and Storage (CCS) involves capturing CO₂ from industrial processes, energy generation, or the atmosphere and storing it in geological formations for millennia. CCS can enable near-zero or negative emissions when combined with sustainably sourced biofuels or direct air capture. Apply CCS primarily to residual/process emissions (e.g., calcination) after efficiency, circularity, and electrification have been pursued where feasible.",Projects & Physical Actions,Infrastructure Development,high,>10 years,
icare_0099,Increase local participation in Agroecological Certification Programmes,mitigation,"Agroecological product certifications confirm products meet sustainability criteria and have low environmental impact. Certifications may help rural producers to understand sustainable practices, improve their use of sustainable practices, and increase demand for their products. Actions include creating a dedicated local programme, starting a partnership with an existing certification programme, or raising awareness of certification options and routes to compliance among local producers.","Policies, Plans & Programs",Public Programs / Incentives,low,<5 years,
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,mitigation,"Support the transition to zero-emission agricultural machinery, such as tractors and equipment powered by renewable electricity or solar energy. These technologies eliminate greenhouse gas emissions, reduce harmful air pollution and noise, and offer opportunities to modernize and improve agricultural tools and practices. Cities and regions can take multiple actions to accelerate this transition, including:
- Replacing existing municipal machinery with zero-emission alternatives.
- Establishing equipment leasing or sharing schemes to increase accessibility.
- Launching local awareness campaigns through training, education, and communication channels.
- Creating financial incentive or loan programs to encourage adoption.
- Partnering with manufacturers and organizing fairs or demonstrations to showcase zero-emission technologies and other sustainable agricultural solutions to local producers.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
icare_0104,Adopt hybrid renewable energy systems (solar-wind),mitigation,"Combine solar and wind energy technologies to create reliable, diversified renewable energy systems suitable for various environmental conditions.",Projects & Physical Actions,Infrastructure Development,high,>10 years,
icare_0105,Reduce technical losses in energy distribution networks,mitigation,"Upgrade and maintain electrical infrastructure to minimize energy lost during transmission and distribution, improving overall grid efficiency.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",mitigation,"Establish comprehensive guidelines for the sustainable management of construction and demolition waste (CDW) to promote efficiency, circularity, and environmental responsibility across the construction sector. The action aims to reduce waste generation at the source, encourage selective deconstruction instead of conventional demolition, and foster material segregation, reuse, and recycling.

These guidelines should define technical standards, responsibilities, and incentives for all stakeholders involved — including contractors, developers, and waste operators — to ensure that valuable materials such as concrete, metals, wood, and aggregates are recovered and reintegrated into new construction cycles. The framework should also establish procedures for safe handling, transportation, and disposal of non-recyclable materials, ensuring compliance with environmental regulations and minimizing landfill use.","Policies, Plans & Programs",Regulation & Standards,medium,<5 years,
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,mitigation,"Enhance processes for returning products to the production cycle, encouraging collection, reuse, and recycling.","Policies, Plans & Programs",Regulation & Standards,medium,"5-10 years",
icare_0117,Improve public transport systems to promote modal shift,mitigation,"Implements measures to enhance the coverage, frequency, capacity, speed, reliability, accessibility, resilience, safety, affordability, comfort, and convenience of public transport systems (e.g., buses, BRT, informal transport, intra-city rail). Specific actions include expanding routes, improving service frequency and reliability, integrating ticketing systems, and ensuring universal accessibility. These improvements encourage passengers to shift from private motorized transport to public transport, reducing emissions and supporting more sustainable mobility.",Projects & Physical Actions,Mobility & Transport Projects,medium,"5-10 years",
