"action_id","action_name","logic_version","logic_type","indicator_key","direction","weight","rationale"
c40_0023,Adopt zero-emission bus fleets for public transport,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0025,Promote deployment of zero-emission freight fleets (trucks),v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0025,Promote deployment of zero-emission freight fleets (trucks),v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0025,Promote deployment of zero-emission freight fleets (trucks),v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0025,Promote deployment of zero-emission freight fleets (trucks),v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0025,Promote deployment of zero-emission freight fleets (trucks),v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0029,Electrify municipal vehicle fleets,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0029,Electrify municipal vehicle fleets,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0029,Electrify municipal vehicle fleets,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0029,Electrify municipal vehicle fleets,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0029,Electrify municipal vehicle fleets,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0035,Optmize waste management systems ,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0035,Optmize waste management systems ,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0035,Optmize waste management systems ,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0035,Optmize waste management systems ,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0035,Optmize waste management systems ,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0040,Implement Volume-Based Collection policy,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0040,Implement Volume-Based Collection policy,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0040,Implement Volume-Based Collection policy,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0040,Implement Volume-Based Collection policy,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0040,Implement Volume-Based Collection policy,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0042,Expand urban and peri-urban green spaces,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0042,Expand urban and peri-urban green spaces,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0042,Expand urban and peri-urban green spaces,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0042,Expand urban and peri-urban green spaces,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0042,Expand urban and peri-urban green spaces,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0001,Improve heat and energy recovery,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0001,Improve heat and energy recovery,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0001,Improve heat and energy recovery,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0001,Improve heat and energy recovery,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0001,Improve heat and energy recovery,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0009,Deploy cogeneration systems in industries,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0009,Deploy cogeneration systems in industries,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0009,Deploy cogeneration systems in industries,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0009,Deploy cogeneration systems in industries,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0009,Deploy cogeneration systems in industries,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0010,Promote Net-Zero and Green Building Certifications,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0010,Promote Net-Zero and Green Building Certifications,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0010,Promote Net-Zero and Green Building Certifications,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0010,Promote Net-Zero and Green Building Certifications,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0010,Promote Net-Zero and Green Building Certifications,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0012,Expand solar energy generation on municipal facilities and public assets,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0012,Expand solar energy generation on municipal facilities and public assets,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0012,Expand solar energy generation on municipal facilities and public assets,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0012,Expand solar energy generation on municipal facilities and public assets,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0012,Expand solar energy generation on municipal facilities and public assets,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0023,Upgrade and maintain electrical substations,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0023,Upgrade and maintain electrical substations,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0023,Upgrade and maintain electrical substations,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0023,Upgrade and maintain electrical substations,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0023,Upgrade and maintain electrical substations,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0024,Integrate renewables into municipal water systems,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0024,Integrate renewables into municipal water systems,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0024,Integrate renewables into municipal water systems,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0024,Integrate renewables into municipal water systems,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0024,Integrate renewables into municipal water systems,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0027,Create financing programs for local renewable energy projects,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0027,Create financing programs for local renewable energy projects,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0027,Create financing programs for local renewable energy projects,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0027,Create financing programs for local renewable energy projects,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0027,Create financing programs for local renewable energy projects,v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',v1,weighted_sum,electricity_access_rate,supportive,0.2,"If AD/biogas recovery is used, stable power access supports operations and monitoring."
icare_0033,Install biodigesters in rural properties,v1,weighted_sum,median_household_income,supportive,0.2,Higher income can increase participation in source separation (with good program design).
icare_0033,Install biodigesters in rural properties,v1,weighted_sum,poverty_rate,constraining,0.25,"Higher poverty may require more free provision (bins, outreach) to sustain participation."
icare_0033,Install biodigesters in rural properties,v1,weighted_sum,unemployment_rate,supportive,0.15,"Can support job-creating waste programs (collection, compost operations) if designed well."
icare_0033,Install biodigesters in rural properties,v1,weighted_sum,employment_in_transport_and_logistics,supportive,0.2,Collection/hauling and logistics capacity supports organics diversion systems.
